Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both
平安,5,2,2,2,2,0
应该,5,2,4,0,2,2
当,5,5,0,5,0,0
劝,5,3,2,3,2,0
不好,5,2,3,2,3,0
怎么,5,4,1,4,1,0
怕,5,4,0,4,0,0
情绪,5,4,1,4,1,0
动态,5,3,2,3,2,0
农家乐,4,0,4,0,4,0
会不会,4,3,0,3,0,0
今年,4,3,2,2,1,1
向,4,2,2,2,2,0
什么是,4,1,2,1,2,0
出现,4,1,2,1,2,0
发现,4,1,3,1,3,0
后面,4,2,2,2,2,0
以为,4,4,2,2,0,2
  ,4,3,2,2,1,1
听说,4,1,3,1,3,0
真实,4,3,0,3,0,0
期望,4,1,3,1,3,0
未来,4,2,2,2,2,0
来了,4,3,3,1,1,2
来看,4,3,1,3,1,0
歌,4,1,3,1,3,0
点,4,1,3,1,3,0
然后,4,2,2,2,2,0
特别好,4,4,0,4,0,0
痛,4,4,0,4,0,0
看着,4,4,1,3,0,1
结果,4,2,2,2,2,0
告别,4,3,1,3,1,0
而,4,3,0,3,0,0
而是,4,3,0,3,0,0
联系,4,2,0,2,0,0
自私,4,3,1,3,1,0
还会,4,3,0,3,0,0
这条,4,2,2,2,2,0
这样,4,1,3,1,3,0
重度,4,2,1,2,1,0
陪,4,2,2,2,2,0
难,4,2,2,2,2,0
更新,4,1,3,1,3,0
文字,4,1,3,1,3,0
放弃,4,3,1,3,1,0
拥抱,4,3,1,3,1,0
哭,4,3,1,3,1,0
回,4,3,1,3,1,0
在哪,4,1,3,1,3,0
地方,4,2,3,1,2,1
地狱,4,4,0,4,0,0
多么,4,2,2,2,2,0
好累,4,4,0,4,0,0
姑娘,4,1,3,1,3,0
家人,4,2,1,2,1,0
小区,4,4,4,0,0,4
帮忙,4,1,1,0,0,1
开,4,1,4,0,3,1
当时,4,4,1,3,0,1
想死,4,4,0,4,0,0
想起,4,2,3,1,2,1
感同身受,4,4,0,4,0,0
愿,4,4,1,3,0,1
成为,4,3,1,3,1,0
或是,4,1,2,1,2,0
或者,4,1,3,1,3,0
抱歉,4,1,3,1,3,0
或许,4,2,3,1,2,1
意义,4,2,0,2,0,0
也想,4,1,3,1,3,0
为什么,4,4,0,4,0,0
一种,4,2,0,2,0,0
一切,4,1,3,1,3,0
不能,4,4,0,4,0,0
与,4,2,2,2,2,0
世上,4,1,3,1,3,0
为,4,2,1,2,1,0
—,4,0,4,0,4,0
变得,3,3,0,3,0,0
想着,3,2,1,2,1,0
帮,3,1,1,1,1,0
并,3,2,1,2,1,0
幸福,3,2,1,2,1,0
不应该,3,1,2,1,2,0
当然,3,3,1,2,0,1
很久,3,1,3,0,2,1
得到,3,2,1,2,1,0
心,3,1,3,0,2,1
快回来吧,3,0,3,0,3,0
怎样,3,1,2,1,2,0
患者,3,3,0,3,0,0
想你,3,1,2,1,2,0
想法,3,2,0,2,0,0
想说,3,3,0,3,0,0
带,3,3,3,0,0,3
想过,3,2,0,2,0,0
不再,3,3,0,3,0,0
愿望,3,2,1,2,1,0
成都,3,3,1,2,0,1
出来,3,0,3,0,3,0
下来,3,2,1,2,1,0
手机,3,1,1,0,0,1
才是,3,1,1,1,1,0
打,3,0,2,0,2,0
打扰,3,1,2,1,2,0
下山,3,0,3,0,3,0
下一个,3,3,0,3,0,0
报警,3,2,0,2,0,0
分享,3,3,0,3,0,0
崩溃,3,3,0,3,0,0
叫,3,3,2,1,0,2
太多,3,1,2,1,2,0
可爱,3,1,3,0,2,1
各位,3,2,0,2,0,0
各种,3,2,1,2,1,0
发病,3,1,0,1,0,0
之前,3,3,1,2,0,1
哪,3,0,3,0,3,0
在哪里,3,0,3,0,3,0
勇气,3,3,0,3,0,0
加油,3,1,2,1,2,0
不错,3,2,1,2,1,0
夜里,3,3,0,3,0,0
不过,3,3,1,2,0,1
天堂,3,2,1,2,1,0
女儿,3,3,0,3,0,0
就好,3,0,3,0,3,0
好久,3,0,3,0,3,0
好起来,3,1,2,1,2,0
如愿,3,1,2,1,2,0
姐妹,3,1,3,0,2,1
删掉,3,1,1,1,1,0
存在,3,1,2,1,2,0
孤单,3,0,3,0,3,0
完,3,2,0,2,0,0
宝贝,3,2,2,1,1,1
实在,3,2,1,2,1,0
摆脱,3,1,1,1,1,0
害怕,3,3,1,2,0,1
不敢,3,3,1,2,0,1
挽救,3,2,1,2,1,0
亮,3,1,2,1,2,0
敷衍,3,0,3,0,3,0
虽然,3,0,3,0,3,0
课,3,0,3,0,3,0
9.29,3,3,1,2,0,1
记得,3,3,1,2,0,1
角落,3,0,3,0,3,0
表弟,3,3,3,0,0,3
衣服,3,1,2,1,2,0
若,3,1,2,1,2,0
继续,3,2,2,1,1,1
芬达,3,3,0,3,0,0
能看到,3,2,1,2,1,0
能够,3,1,1,1,1,0
能不能,3,1,2,1,2,0
肯定,3,1,2,1,2,0
肉,3,1,2,1,2,0
起来,3,2,1,2,1,0
越来越,3,3,0,3,0,0
跟着,3,1,3,0,2,1
还没,3,0,3,0,3,0
还能,3,1,2,1,2,0
这一切,3,2,1,2,1,0
这么多,3,1,1,1,1,0
这里,3,2,0,2,0,0
连,3,2,1,2,1,0
遗书,3,2,1,2,1,0
那个,3,2,1,1,0,1
那么多,3,1,2,1,2,0
那些,3,1,0,1,0,0
长,3,3,0,3,0,0
阶段,3,3,0,3,0,0
雷洞坪,3,0,3,0,3,0
马上,3,1,1,1,1,0
美丽,3,2,2,1,1,1
绝望,3,3,0,3,0,0
也有,3,2,1,2,1,0
期待,3,2,1,2,1,0
海,3,3,0,3,0,0
治愈,3,3,0,3,0,0
比,3,2,0,2,0,0
根本,3,1,0,1,0,0
查到,3,2,1,2,1,0
来过,3,1,3,0,2,1
有什么,3,2,0,2,0,0
究竟,3,1,2,1,2,0
暖暖,3,0,3,0,3,0
明白,3,0,3,0,3,0
明天,3,2,2,1,1,1
时,3,2,1,2,1,0
日子,3,2,0,2,0,0
上山,3,2,2,0,0,2
一次,3,2,1,2,1,0
深圳,3,3,0,3,0,0
深陷,3,2,1,2,1,0
添麻烦,3,2,1,2,1,0
一样,3,2,1,2,1,0
漂,3,1,2,1,2,0
一条,3,0,3,0,3,0
煎熬,3,3,0,3,0,0
爸爸,3,2,1,2,1,0
猫,3,3,2,1,0,2
环境,3,2,1,2,1,0
生病,3,2,0,2,0,0
用,3,1,1,1,1,0
看过,3,2,1,2,1,0
真,3,1,1,1,1,0
一件,3,1,2,1,2,0
一个月,3,2,1,2,1,0
新,3,0,3,0,3,0
???,3,0,2,0,2,0
做出,3,3,0,3,0,0
以前,3,3,0,3,0,0
任何,3,1,2,1,2,0
了  ,3,2,3,0,1,2
今晚,3,3,2,1,0,2
依然,3,2,1,2,1,0
关系,3,3,0,3,0,0
值得,3,1,2,1,2,0
事情,3,2,2,1,1,1
停留,3,0,3,0,3,0
充满,3,3,0,3,0,0
考试,2,2,0,2,0,0
倾向,2,0,0,0,0,0
是不是,2,1,1,1,1,0
帮助,2,0,1,0,1,0
干净,2,0,2,0,2,0
倒计时,2,1,0,1,0,0
并没有,2,1,1,1,1,0
综艺,2,0,2,0,2,0
带着,2,2,0,2,0,0
工作,2,2,0,2,0,0
左右,2,0,2,0,2,0
广东,2,0,2,0,2,0
偏偏,2,1,1,1,1,0
而已,2,1,2,0,1,1
岸上,2,2,0,2,0,0
属于,2,1,1,1,1,0
就要,2,2,1,1,0,1
就能,2,0,0,0,0,0
事件,2,1,1,1,1,0
就在,2,1,1,1,1,0
脆弱,2,2,0,2,0,0
就会,2,2,1,1,0,1
脖子,2,1,1,1,1,0
尝试,2,1,1,1,1,0
幸运,2,1,1,1,1,0
终结,2,1,0,1,0,0
结局,2,0,1,0,1,0
经历了,2,2,0,2,0,0
祖国,2,1,1,1,1,0
祝好,2,1,2,0,1,1
怎么样,2,0,2,0,2,0
神经递质,2,0,0,0,0,0
离,2,2,0,2,0,0
念,2,0,2,0,2,0
私信,2,2,0,2,0,0
快回来,2,0,2,0,2,0
秋天,2,0,2,0,2,0
租,2,2,0,2,0,0
积极,2,1,1,1,1,0
忘记,2,2,2,0,0,2
心脏,2,2,0,2,0,0
心情,2,2,0,2,0,0
徘徊,2,0,1,0,1,0
很难,2,1,0,1,0,0
第一,2,1,0,1,0,0
很棒,2,1,1,1,1,0
第一次,2,2,1,1,0,1
很多次,2,2,0,2,0,0
很多人,2,1,1,1,1,0
不如,2,1,1,1,1,0
往往,2,1,0,1,0,0
等等,2,2,0,2,0,0
归来,2,0,2,0,2,0
累,2,0,2,0,2,0
不懂,2,0,0,0,0,0
自,2,0,1,0,1,0
尊重,2,2,0,2,0,0
自在,2,0,2,0,2,0
赶紧,2,0,0,0,0,0
失望,2,1,1,1,1,0
太长,2,2,0,2,0,0
太子坪,2,0,2,0,2,0
试着,2,1,1,1,1,0
试试,2,2,2,0,0,2
天气,2,0,2,0,2,0
说说,2,1,2,0,1,1
谁,2,1,0,1,0,0
儿,2,0,2,0,2,0
谢谢,2,2,2,0,0,2
责任,2,2,0,2,0,0
多吃,2,1,1,1,1,0
坚强,2,2,0,2,0,0
奇迹,2,0,2,0,2,0
仅,2,0,1,0,1,0
且,2,1,1,1,1,0
在那里,2,1,2,0,1,1
越,2,2,0,2,0,0
什么样,2,0,0,0,0,0
东西,2,1,1,1,1,0
圈,2,1,1,1,1,0
图片评论,2,0,0,0,0,0
跨年,2,2,2,0,0,2
路,2,2,1,1,0,1
跳下去,2,2,0,2,0,0
跳崖,2,0,1,0,1,0
失眠,2,2,0,2,0,0
讲,2,1,2,0,1,1
小孩,2,2,0,2,0,0
仍,2,0,2,0,2,0
恭喜,2,1,1,1,1,0
封,2,1,2,0,1,1
导致,2,0,0,0,0,0
家里,2,1,1,0,0,1
害,2,1,1,1,1,0
做伴,2,1,1,1,1,0
做傻事,2,0,2,0,2,0
花花,2,2,0,2,0,0
定时,2,0,0,0,0,0
守护,2,0,2,0,2,0
菜,2,0,2,0,2,0
孤独,2,2,0,2,0,0
姐,2,0,1,0,1,0
女,2,0,2,0,2,0
见,2,1,1,1,1,0
好运,2,2,0,2,0,0
好的,2,0,2,0,2,0
好想,2,1,1,1,1,0
不行,2,2,0,2,0,0
好多好多,2,2,1,1,0,1
角,2,0,2,0,2,0
不要放弃,2,0,2,0,2,0
:,2,0,2,0,2,0
不要死,2,2,0,2,0,0
她说,2,0,2,0,2,0
认为,2,1,1,1,1,0
总,2,1,1,1,1,0
惋惜,2,0,2,0,2,0
瞬间,2,2,0,2,0,0
情况,2,1,0,1,0,0
没人,2,2,0,2,0,0
没什么,2,1,1,1,1,0
更有,2,0,2,0,2,0
更,2,2,0,2,0,0
没意思,2,2,0,2,0,0
没有死,2,1,1,1,1,0
