Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both
真的好,3,0,3,0,3,0
嘴,3,0,3,0,3,0
看着,3,0,3,0,3,0
应该,3,1,3,0,2,1
开始,3,0,3,0,3,0
彻底,3,1,3,0,2,1
唉,3,2,2,1,1,1
很好,3,1,3,0,2,1
很酷,3,2,2,1,1,1
微博,3,1,3,0,2,1
环境,3,2,3,0,1,2
爷爷,3,0,3,0,3,0
情绪,3,1,3,0,2,1
心疼,3,0,3,0,3,0
最近,3,0,3,0,3,0
还要,3,0,3,0,3,0
不用,3,1,3,0,2,1
下一世,3,0,3,0,3,0
伤害,3,0,3,0,3,0
一,3,0,3,0,3,0
上,3,0,3,0,3,0
体验,3,0,3,0,3,0
这些,3,0,3,0,3,0
那么,3,1,2,1,2,0
也不,3,2,2,1,1,1
辛苦,3,0,3,0,3,0
你们,3,0,3,0,3,0
郑灵华,3,0,3,0,3,0
什么,3,1,2,1,2,0
宝宝,2,0,2,0,2,0
遇见,2,0,2,0,2,0
像,2,0,2,0,2,0
完,2,0,2,0,2,0
那一边,2,0,2,0,2,0
且,2,0,2,0,2,0
穿着,2,0,2,0,2,0
安息,2,0,2,0,2,0
小,2,0,2,0,2,0
害怕,2,1,1,1,1,0
不要走,2,0,2,0,2,0
小花,2,0,2,0,2,0
尝试,2,0,2,0,2,0
学校,2,1,2,0,1,1
就这样,2,0,2,0,2,0
工资,2,2,2,0,0,2
真是,2,1,2,0,1,1
真好,2,2,1,1,0,1
帮,2,0,2,0,2,0
干嘛,2,0,2,0,2,0
看见,2,1,2,0,1,1
不甘心,2,0,2,0,2,0
看看,2,1,1,1,1,0
平安,2,0,2,0,2,0
广州,2,0,2,0,2,0
中度,2,2,2,0,0,2
为,2,1,2,0,1,1
学到,2,2,2,0,0,2
笑,2,0,2,0,2,0
也是,2,0,2,0,2,0
书信,2,0,2,0,2,0
云,2,0,2,0,2,0
天上,2,0,2,0,2,0
大好,2,1,2,0,1,1
多么,2,1,2,0,1,1
组成,2,0,2,0,2,0
这么多,2,2,0,2,0,0
经历了,2,0,2,0,2,0
坚强,2,0,2,0,2,0
结局,2,0,2,0,2,0
亮,2,0,2,0,2,0
人和,2,1,2,0,1,1
在意,2,0,2,0,2,0
结果,2,0,2,0,2,0
太多太多,2,1,2,0,1,1
也想,2,0,2,0,2,0
也好,2,0,2,0,2,0
等一等,2,0,2,0,2,0
都会,2,0,2,0,2,0
姐妹,2,0,2,0,2,0
始终,2,1,2,0,1,1
适合,2,0,2,0,2,0
久,2,0,2,0,2,0
送给,2,0,2,0,2,0
好像,2,1,1,1,1,0
失望,2,1,2,0,1,1
好久,2,1,2,0,1,1
这边,2,1,2,0,1,1
乖乖,2,0,2,0,2,0
女生,2,0,2,0,2,0
算是,2,2,2,0,0,2
女,2,1,2,0,1,1
应该是,2,0,2,0,2,0
家人,2,0,2,0,2,0
相信,2,0,2,0,2,0
所有人,2,0,2,0,2,0
支持,2,0,2,0,2,0
比,2,1,2,0,1,1
比较,2,2,2,0,0,2
毕业,2,1,2,0,1,1
撑一撑,2,2,0,2,0,0
一位,2,1,2,0,1,1
接受,2,1,1,1,1,0
一切安好,2,1,2,0,1,1
没有了,2,1,1,1,1,0
一名,2,0,2,0,2,0
报应,2,0,2,0,2,0
一头,2,1,2,0,1,1
找,2,2,1,1,0,1
没机会,2,0,2,0,2,0
治愈,2,1,1,1,1,0
放下,2,0,2,0,2,0
施暴者,2,1,1,1,1,0
旅程,2,0,2,0,2,0
本来,2,1,1,1,1,0
?,2,0,2,0,2,0
有没有,2,1,1,1,1,0
@,2,0,2,0,2,0
?,2,0,2,0,2,0
暴力,2,2,2,0,0,2
鼓励,2,0,2,0,2,0
昨天,2,1,2,0,1,1
梳着,2,0,2,0,2,0
春天,2,0,2,0,2,0
杀人,2,0,2,0,2,0
明明,2,0,2,0,2,0
时间,2,1,2,0,1,1
无论是,2,0,2,0,2,0
无法,2,1,1,1,1,0
一朵,2,0,2,0,2,0
所有,2,0,2,0,2,0
当时,2,0,2,0,2,0
或许,2,1,2,0,1,1
用,2,1,2,0,1,1
開心,2,1,1,1,1,0
长大,2,2,2,0,0,2
不了,2,0,2,0,2,0
不会,2,1,1,1,1,0
画卷,2,0,2,0,2,0
很快,2,0,2,0,2,0
很多,2,1,2,0,1,1
不值得,2,0,2,0,2,0
很久,2,0,2,0,2,0
疫情,2,1,2,0,1,1
不再,2,0,2,0,2,0
彩色,2,0,2,0,2,0
重新,2,0,2,0,2,0
继续,2,0,2,0,2,0
理解,2,1,2,0,1,1
下,2,1,2,0,1,1
上海,2,1,1,1,1,0
一首,2,1,2,0,1,1
一片,2,1,2,0,1,1
一生,2,0,2,0,2,0
愿意,2,0,2,0,2,0
一趟,2,0,2,0,2,0
温柔,2,1,1,1,1,0
感同身受,2,0,2,0,2,0
愉快,2,0,2,0,2,0
间,2,0,2,0,2,0
想说,2,0,2,0,2,0
惋惜,2,0,2,0,2,0
您,2,0,2,0,2,0
照顾,2,0,2,0,2,0
恶,2,0,2,0,2,0
阳光,2,0,2,0,2,0
当然,2,0,2,0,2,0
网络暴力,2,0,2,0,2,0
吃,2,0,2,0,2,0
听到,2,0,2,0,2,0
以后,2,0,2,0,2,0
作为,2,1,2,0,1,1
刷到,2,0,2,0,2,0
而且,2,2,2,0,0,2
苦,2,1,2,0,1,1
发色,2,1,2,0,1,1
发生,2,0,2,0,2,0
而,2,0,2,0,2,0
厉害,2,0,2,0,2,0
考研,2,1,2,0,1,1
前途,2,1,2,0,1,1
轻松,2,0,2,0,2,0
过去,2,0,2,0,2,0
偏见,2,1,2,0,1,1
哥哥,2,1,2,0,1,1
去年,2,2,2,0,0,2
后悔,2,0,2,0,2,0
决定,2,0,2,0,2,0
名字,2,0,2,0,2,0
几年,2,0,2,0,2,0
保重,2,0,2,0,2,0
该死,2,0,2,0,2,0
传授,2,0,2,0,2,0
可爱,2,0,2,0,2,0
出格,2,0,2,0,2,0
可见,2,1,1,1,1,0
任何事,2,1,2,0,1,1
记得,2,0,2,0,2,0
舒适,2,0,2,0,2,0
别人,2,1,1,1,1,0
保研,2,2,2,0,0,2
只是,2,1,1,1,1,0
只,2,0,2,0,2,0
凶手,2,0,2,0,2,0
说什么,2,1,1,1,1,0
距离,2,0,2,0,2,0
解脱,2,1,1,1,1,0
网曝,2,1,1,1,1,0
美,2,0,2,0,2,0
贫,2,0,2,0,2,0
动态,2,1,2,0,1,1
还有,2,2,0,2,0,0
充满,2,0,2,0,2,0
半年,2,1,1,1,1,0
视频,2,1,2,0,1,1
网爆,2,1,1,1,1,0
衣服,2,0,2,0,2,0
务必,2,2,0,2,0,0
四月,2,1,1,1,1,0
还没,2,1,2,0,1,1
要是,2,1,2,0,1,1
依然,2,0,2,0,2,0
从小到大,2,1,2,0,1,1
还没有,2,0,2,0,2,0
没能,1,0,1,0,1,0
阿,1,1,1,0,0,1
浅灰色,1,0,1,0,1,0
洼地,1,0,1,0,1,0
见面,1,0,1,0,1,0
爱美之心,1,0,1,0,1,0
阿弥陀佛,1,0,1,0,1,0
牢牢记住,1,0,1,0,1,0
王子木,1,0,1,0,1,0
特,1,1,0,1,0,0
隔空,1,0,1,0,1,0
活泼,1,0,1,0,1,0
靠,1,0,1,0,1,0
证,1,1,1,0,0,1
青春期,1,0,1,0,1,0
诉说,1,0,1,0,1,0
猎杀,1,0,1,0,1,0
特别酷,1,0,1,0,1,0
院里,1,0,1,0,1,0
非议,1,0,1,0,1,0
活,1,0,1,0,1,0
评论,1,0,1,0,1,0
泡泡,1,0,1,0,1,0
评价,1,0,1,0,1,0
烟花,1,0,1,0,1,0
隐身,1,0,1,0,1,0
熬,1,0,1,0,1,0
除了,1,0,1,0,1,0
点赞,1,0,1,0,1,0
烦恼,1,0,1,0,1,0
点,1,1,1,0,0,1
灵华学姐,1,0,1,0,1,0
灵华同学,1,0,1,0,1,0
灵华,1,0,1,0,1,0
陪,1,0,1,0,1,0
超酷天堂,1,0,1,0,1,0
角落,1,0,1,0,1,0
热烈,1,0,1,0,1,0
陪伴,1,0,1,0,1,0
满脸,1,0,1,0,1,0
热爱,1,0,1,0,1,0
满,1,0,1,0,1,0
言,1,0,1,0,1,0
让人痛心,1,0,1,0,1,0
温暖,1,0,1,0,1,0
热闹,1,1,1,0,0,1
隐世,1,0,1,0,1,0
言论,1,0,1,0,1,0
清明节,1,0,1,0,1,0
深刻,1,0,1,0,1,0
然后,1,0,1,0,1,0
照片,1,0,1,0,1,0
超美,1,0,1,0,1,0
淡,1,0,1,0,1,0
隐藏,1,0,1,0,1,0
熊抱,1,0,1,0,1,0
烂,1,1,0,1,0,0
消失不见,1,0,1,0,1,0
面,1,0,1,0,1,0
还给,1,1,1,0,0,1
没有办法,1,1,1,0,0,1
读书,1,1,1,0,0,1
黑色,1,0,1,0,1,0
诶,1,0,1,0,1,0
黑狗,1,0,1,0,1,0
黑暗面,1,1,1,0,0,1
黄,1,0,1,0,1,0
来过,1,0,1,0,1,0
林俊杰,1,1,1,0,0,1
鸭,1,0,1,0,1,0
染上,1,0,1,0,1,0
染发,1,1,1,0,0,1
走路,1,0,1,0,1,0
柔软,1,0,1,0,1,0
查,1,1,1,0,0,1
校园暴力,1,0,1,0,1,0
梁万年,1,0,1,0,1,0
说话,1,0,1,0,1,0
说真的,1,0,1,0,1,0
走着,1,1,1,0,0,1
谢罪,1,1,1,0,0,1
棉花糖,1,0,1,0,1,0
谢谢,1,1,1,0,0,1
???,1,0,1,0,1,0
走出来,1,0,1,0,1,0
走在路上,1,1,1,0,0,1
有点,1,1,1,0,0,1
有用,1,1,1,0,0,1
有礼貌,1,0,1,0,1,0
有说有笑,1,1,1,0,0,1
?,1,0,1,0,1,0
有钱,1,1,1,0,0,1
?,1,0,1,0,1,0
未来,1,0,1,0,1,0
责任,1,0,1,0,1,0
本,1,0,1,0,1,0
象征,1,1,0,1,0,0
本人,1,1,1,0,0,1
谩骂,1,0,1,0,1,0
朵朵,1,0,1,0,1,0
鲜活,1,0,1,0,1,0
高,1,1,1,0,0,1
鞭炮,1,0,1,0,1,0
每次,1,0,1,0,1,0
民办大专,1,1,1,0,0,1
超,1,0,1,0,1,0
说不定,1,1,1,0,0,1
永远不会,1,0,1,0,1,0
永远不可能,1,0,1,0,1,0
求,1,0,1,0,1,0
江西电信,1,1,1,0,0,1
说不出来,1,1,1,0,0,1
江西移动,1,1,1,0,0,1
见过,1,0,1,0,1,0
沉重,1,0,1,0,1,0
沒,1,1,0,1,0,0
没什么,1,1,1,0,0,1
没想通,1,0,1,0,1,0
顶着,1,1,1,0,0,1
超级,1,0,1,0,1,0
音乐,1,0,1,0,1,0
说出,1,0,1,0,1,0
颜色,1,0,1,0,1,0
楼下,1,0,1,0,1,0
每个人,1,0,1,0,1,0
说好,1,0,1,0,1,0
走过来,1,0,1,0,1,0
马上,1,0,1,0,1,0
饱受,1,0,1,0,1,0
飞舞,1,0,1,0,1,0
歌词,1,1,1,0,0,1
正,1,0,1,0,1,0
此刻,1,0,1,0,1,0
此后,1,0,1,0,1,0
风,1,0,1,0,1,0
武器,1,0,1,0,1,0
死亡,1,0,1,0,1,0
死皮赖脸,1,0,1,0,1,0
残忍,1,1,1,0,0,1
段,1,0,1,0,1,0
毁灭,1,0,1,0,1,0
每一位,1,0,1,0,1,0
玩笑,1,0,1,0,1,0
男人,1,0,1,0,1,0
见证,1,0,1,0,1,0
笔试,1,1,1,0,0,1
第一次,1,0,1,0,1,0
退,1,0,1,0,1,0
远离,1,0,1,0,1,0
进,1,1,1,0,0,1
等到,1,0,1,0,1,0
等着,1,0,1,0,1,0
等等,1,0,1,0,1,0
答应,1,0,1,0,1,0
答案,1,1,0,1,0,0
简直,1,0,1,0,1,0
者,1,0,1,0,1,0
考上,1,1,1,0,0,1
考,1,1,1,0,0,1
过你,1,1,1,0,0,1
这辈子,1,0,1,0,1,0
管理者,1,1,0,1,0,0
类似,1,1,0,1,0,0
而是,1,0,1,0,1,0
职责,1,0,1,0,1,0
路,1,0,1,0,1,0
笑面虎,1,1,1,0,0,1
穿,1,0,1,0,1,0
自信,1,0,1,0,1,0
能够,1,0,1,0,1,0
遇到,1,1,1,0,0,1
造,1,0,1,0,1,0
逝者,1,0,1,0,1,0
突然想到,1,0,1,0,1,0
能做,1,0,1,0,1,0
背景,1,1,0,1,0,0
通过,1,0,1,0,1,0
肯定,1,0,1,0,1,0
站,1,0,1,0,1,0
竟是,1,0,1,0,1,0
肮脏,1,0,1,0,1,0
這一週,1,1,0,1,0,0
笑容,1,0,1,0,1,0
肆无忌惮,1,0,1,0,1,0
类型,1,0,1,0,1,0
老八,1,0,1,0,1,0
过日子,1,0,1,0,1,0
迎接,1,0,1,0,1,0
组织者,1,1,1,0,0,1
终,1,0,1,0,1,0
终将,1,0,1,0,1,0
经历,1,0,1,0,1,0
经受,1,1,1,0,0,1
经验,1,0,1,0,1,0
这么些天,1,0,1,0,1,0
罪,1,0,1,0,1,0
结婚,1,1,1,0,0,1
有时候,1,0,1,0,1,0
结束,1,0,1,0,1,0
网络,1,0,1,0,1,0
还该,1,1,1,0,0,1
绚丽多彩,1,0,1,0,1,0
绚烂,1,0,1,0,1,0
网,1,0,1,0,1,0
绳之以法,1,1,1,0,0,1
罪人,1,0,1,0,1,0
罪有应得,1,0,1,0,1,0
纵容,1,1,0,1,0,0
这几天,1,1,1,0,0,1
羡慕至极,1,1,1,0,0,1
粉红色,1,0,1,0,1,0
羡慕,1,0,1,0,1,0
还好,1,0,1,0,1,0
粑粑,1,0,1,0,1,0
这句,1,1,1,0,0,1
精力,1,0,1,0,1,0
索多玛,1,0,1,0,1,0
纯净,1,0,1,0,1,0
紧紧,1,0,1,0,1,0
總會過,1,0,1,0,1,0
繁花,1,0,1,0,1,0
还好吗,1,0,1,0,1,0
红发,1,1,1,0,0,1
红橙黄绿青蓝紫,1,0,1,0,1,0
红色,1,0,1,0,1,0
离世,1,0,1,0,1,0
遭受,1,0,1,0,1,0
福德,1,0,1,0,1,0
看不到,1,1,1,0,0,1
留在,1,0,1,0,1,0
蛾,1,0,1,0,1,0
蛋蛋小姐姐,1,0,1,0,1,0
番,1,0,1,0,1,0
蛋糕,1,0,1,0,1,0
蛋,1,0,1,0,1,0
虽,1,1,1,0,0,1
虚拟,1,0,1,0,1,0
虎哥,1,0,1,0,1,0
的乐队,1,0,1,0,1,0
直到,1,0,1,0,1,0
直接,1,0,1,0,1,0
莫名,1,0,1,0,1,0
相同,1,1,1,0,0,1
里面,1,1,1,0,0,1
采摘,1,0,1,0,1,0
茶子,1,0,1,0,1,0
长发,1,0,1,0,1,0
行,1,0,1,0,1,0
表情,1,0,1,0,1,0
跳下去,1,0,1,0,1,0
现,1,0,1,0,1,0
见,1,1,0,1,0,0
现实,1,0,1,0,1,0
现实中,1,0,1,0,1,0
闲言碎语,1,0,1,0,1,0
珍贵,1,0,1,0,1,0
问题,1,0,1,0,1,0
闪闪发光,1,0,1,0,1,0
画,1,0,1,0,1,0
生,1,0,1,0,1,0
闪耀,1,0,1,0,1,0
身体健康,1,0,1,0,1,0
衷心,1,0,1,0,1,0
长期,1,0,1,0,1,0
缺席,1,0,1,0,1,0
衬衫,1,0,1,0,1,0
