Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both
学,4,4,0,4,0,0
孤独,4,4,2,2,0,2
记得,4,3,4,0,1,3
点,4,3,1,3,1,0
平静,4,4,1,3,0,1
高考,4,4,1,3,0,1
妈妈,4,4,2,2,0,2
当,4,3,1,3,1,0
好累,4,4,1,3,0,1
这句话,4,3,2,2,1,1
不再,4,4,1,3,0,1
装,4,4,0,4,0,0
病,4,4,3,1,0,3
没用,4,4,0,4,0,0
这几天,4,4,3,1,0,3
上进,4,4,1,3,0,1
活下去,4,4,2,2,0,2
看着,4,4,0,4,0,0
有时候,4,4,0,4,0,0
看见,4,4,0,4,0,0
承受,3,3,0,3,0,0
我们,3,3,1,2,0,1
是因为,3,3,1,2,0,1
新年,3,3,3,0,0,3
只想,3,3,1,2,0,1
该,3,3,0,3,0,0
再也,3,3,0,3,0,0
昨天晚上,3,3,1,2,0,1
梦,3,3,2,1,0,2
杀,3,3,0,3,0,0
愿望,3,3,2,1,0,2
明天,3,3,1,2,0,1
只能,3,3,0,3,0,0
晚上,3,3,2,1,0,2
内心,3,3,3,0,0,3
先,3,3,1,2,0,1
有什么,3,3,0,3,0,0
厌恶,3,3,0,3,0,0
条件,3,3,0,3,0,0
来了,3,3,1,2,0,1
压抑,3,3,0,3,0,0
最近,3,3,1,2,0,1
发,3,3,1,2,0,1
杞人忧天,3,3,0,3,0,0
有了,3,3,0,3,0,0
努力,3,3,1,2,0,1
要是,3,3,1,2,0,1
我妈,3,3,0,3,0,0
晚安,3,3,3,0,0,3
能力,3,3,1,2,0,1
能不能,3,3,0,3,0,0
六一,3,3,3,0,0,3
社交,3,3,0,3,0,0
可笑,3,3,0,3,0,0
微博,3,3,0,3,0,0
太多,3,3,0,3,0,0
很难,3,3,1,2,0,1
相信,3,3,0,3,0,0
很累,3,3,0,3,0,0
痛,3,3,1,2,0,1
好多人,3,3,1,2,0,1
活得,3,3,0,3,0,0
好想,3,3,1,2,0,1
待,3,3,0,3,0,0
流眼泪,3,3,0,3,0,0
幸好,3,1,2,1,2,0
生物,3,3,0,3,0,0
烦心事,3,3,0,3,0,0
工作,3,3,0,3,0,0
焦虑,3,3,0,3,0,0
照顾,3,3,0,3,0,0
它,3,3,0,3,0,0
就能,3,3,0,3,0,0
父母,3,3,0,3,0,0
爸妈,3,3,1,2,0,1
特别,3,3,0,3,0,0
天亮,3,3,0,3,0,0
真是,3,3,0,3,0,0
想象,3,3,0,3,0,0
心,3,3,1,2,0,1
想着,3,3,0,3,0,0
后来,3,3,1,2,0,1
结束,3,3,0,3,0,0
悲哀,3,3,0,3,0,0
悲伤,3,3,1,2,0,1
您,3,3,0,3,0,0
哪天,3,3,1,2,0,1
恨,3,3,0,3,0,0
穿,3,3,0,3,0,0
怨,3,3,0,3,0,0
回答,3,3,1,2,0,1
在家,3,3,1,2,0,1
在意,3,3,2,1,0,2
怎样,3,3,0,3,0,0
睡觉,3,3,0,3,0,0
毕业,3,3,2,1,0,2
念头,3,3,0,3,0,0
外面,3,3,0,3,0,0
求,3,3,0,3,0,0
忍不住,3,3,0,3,0,0
