Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both
那样,4,4,0,4,0,0
坚持,4,3,1,3,1,0
结婚,4,4,3,1,0,3
失眠,4,4,0,4,0,0
等,4,4,0,4,0,0
突然,4,4,0,4,0,0
哈哈哈,4,2,3,1,2,1
如何,4,4,0,4,0,0
真正,4,3,0,3,0,0
带来,3,3,0,3,0,0
全,3,2,0,2,0,0
搞笑,3,2,0,2,0,0
这些,3,3,0,3,0,0
这么多,3,2,1,2,1,0
感受,3,3,0,3,0,0
还能,3,2,1,2,1,0
回来,3,3,0,3,0,0
救,3,3,0,3,0,0
与,3,3,0,3,0,0
真的好,3,3,0,3,0,0
一定,3,3,0,3,0,0
那里,3,1,2,1,2,0
眼泪,3,2,1,2,1,0
还好,3,3,0,3,0,0
大学,3,3,0,3,0,0
时,3,3,0,3,0,0
辛苦,3,3,0,3,0,0
躺,3,1,1,1,1,0
躲起来,3,3,1,2,0,1
身上,3,3,0,3,0,0
一生,3,3,0,3,0,0
出生,3,3,0,3,0,0
陪着,3,2,1,2,1,0
就算,3,3,0,3,0,0
依旧,3,3,0,3,0,0
掉,3,2,1,2,1,0
接受,3,3,0,3,0,0
委屈,3,3,0,3,0,0
我妈,3,3,1,2,0,1
地方,3,2,1,2,1,0
偷偷,3,3,0,3,0,0
或者,3,3,0,3,0,0
或许,3,3,0,3,0,0
留给,3,3,0,3,0,0
后,3,3,0,3,0,0
丧,3,1,1,1,1,0
—,3,1,2,1,2,0
逼,3,1,2,1,2,0
那边,3,2,1,2,1,0
逃,3,2,1,2,1,0
也有,3,3,1,2,0,1
找,3,2,1,2,1,0
找到,3,2,1,2,1,0
一个星期,3,3,0,3,0,0
世间,3,3,0,3,0,0
懂,3,3,0,3,0,0
夏天,3,3,0,3,0,0
一切,3,3,0,3,0,0
开,3,3,0,3,0,0
应该,3,3,1,2,0,1
真是,3,2,1,1,0,1
幸福,3,3,0,3,0,0
起来,3,3,0,3,0,0
一辈子,3,3,1,2,0,1
她们,3,3,0,3,0,0
不允许,3,0,2,0,2,0
不到,3,3,0,3,0,0
每个人,3,2,0,2,0,0
想不开,3,3,0,3,0,0
不好,3,3,0,3,0,0
勇敢,3,3,0,3,0,0
能不能,3,3,1,2,0,1
勇气,3,3,0,3,0,0
听,3,3,0,3,0,0
联系,3,3,2,1,0,2
小事,3,3,0,3,0,0
封,3,0,1,0,1,0
对不起,3,3,0,3,0,0
于,3,3,0,3,0,0
没能,3,3,1,2,0,1
忍受,3,3,2,1,0,2
写,3,3,0,3,0,0
容易,3,3,0,3,0,0
而我,3,3,0,3,0,0
悲伤,3,3,1,2,0,1
容,3,3,0,3,0,0
烦恼,3,3,0,3,0,0
哪,3,3,0,3,0,0
家人,3,3,0,3,0,0
焦虑,3,2,1,2,1,0
发,3,2,1,2,1,0
以前,3,3,1,2,0,1
那么多,3,3,0,3,0,0
藏起来,3,3,0,3,0,0
今晚,3,3,0,3,0,0
最大,3,1,1,1,1,0
一遍,3,3,0,3,0,0
生日,3,2,1,2,1,0
它,3,3,0,3,0,0
总,3,3,0,3,0,0
安慰,3,2,1,2,1,0
有什么,3,3,0,3,0,0
劝,3,3,0,3,0,0
有没有,3,1,1,1,1,0
就可以,3,3,0,3,0,0
那时候,3,3,0,3,0,0
视频,3,3,0,3,0,0
出,3,3,0,3,0,0
凭什么,3,0,3,0,3,0
小孩,3,3,0,3,0,0
根本,3,3,0,3,0,0
吼,3,3,0,3,0,0
哈哈,3,1,3,0,2,1
忍不住,2,2,0,2,0,0
啊啊啊,2,0,2,0,2,0
和服,2,2,0,2,0,0
很大,2,1,1,1,1,0
善良,2,2,0,2,0,0
呼吸,2,2,1,1,0,1
忍住,2,2,0,2,0,0
心里,2,2,0,2,0,0
存在,2,1,1,1,1,0
当成,2,1,1,1,1,0
好起来,2,0,2,0,2,0
头,2,1,1,1,1,0
她说,2,2,1,1,0,1
好不好,2,2,0,2,0,0
好友,2,2,0,2,0,0
好好的,2,2,0,2,0,0
家庭,2,1,1,1,1,0
如今,2,2,0,2,0,0
失败,2,2,0,2,0,0
完整,2,2,0,2,0,0
如此,2,2,1,1,0,1
完全,2,2,0,2,0,0
完,2,2,0,2,0,0
它们,2,2,0,2,0,0
妈,2,2,0,2,0,0
小生,2,2,0,2,0,0
小车,2,2,0,2,0,0
强忍,2,2,0,2,0,0
并不,2,2,0,2,0,0
开枪,2,2,0,2,0,0
处理,2,2,0,2,0,0
多少人,2,2,2,0,0,2
多想,2,2,0,2,0,0
夢,2,2,0,2,0,0
大,2,2,0,2,0,0
干什么,2,2,0,2,0,0
小饭,2,1,1,1,1,0
带,2,1,2,0,1,1
尽头,2,1,1,1,1,0
威胁,2,2,0,2,0,0
大车,2,2,0,2,0,0
太多,2,2,0,2,0,0
失控,2,2,0,2,0,0
就这样,2,2,0,2,0,0
&,2,2,0,2,0,0
性格,2,2,0,2,0,0
自残,2,2,0,2,0,0
资格,2,2,0,2,0,0
负能,2,2,0,2,0,0
谢谢,2,2,0,2,0,0
读,2,2,0,2,0,0
诉说,2,2,0,2,0,0
解脱,2,2,0,2,0,0
角落,2,1,1,1,1,0
要死,2,2,0,2,0,0
虽然,2,2,0,2,0,0
蘸,2,2,0,2,0,0
葬礼,2,2,0,2,0,0
至,2,2,0,2,0,0
自身,2,0,0,0,0,0
自由,2,2,0,2,0,0
背地里,2,2,0,2,0,0
赴汤蹈火,2,2,0,2,0,0
而是,2,1,1,1,1,0
老师,2,1,1,1,1,0
继续,2,1,1,1,1,0
笑话,2,2,0,2,0,0
竟然,2,2,0,2,0,0
碾过,2,2,0,2,0,0
碰到,2,2,0,2,0,0
石头,2,2,0,2,0,0
矫情,2,2,0,2,0,0
睡觉,2,2,0,2,0,0
眼睛,2,2,0,2,0,0
看见,2,2,0,2,0,0
看上,2,2,2,0,0,2
痛哭,2,2,0,2,0,0
走出来,2,2,0,2,0,0
起风,2,2,0,2,0,0
疯,2,2,0,2,0,0
那天,2,2,0,2,0,0
鼓励,2,2,0,2,0,0
默默,2,1,1,1,1,0
麻酱,2,2,0,2,0,0
麻烦,2,2,0,2,0,0
魔障,2,0,2,0,2,0
高中,2,2,0,2,0,0
顿,2,2,0,2,0,0
非常,2,0,1,0,1,0
需要,2,2,0,2,0,0
难受,2,2,0,2,0,0
阳光灿烂,2,1,0,1,0,0
错过,2,0,2,0,2,0
错了,2,2,0,2,0,0
里面,2,2,0,2,0,0
遗言,2,0,2,0,2,0
跑,2,2,0,2,0,0
遗憾,2,2,0,2,0,0
遇,2,2,0,2,0,0
这辈子,2,1,1,1,1,0
这种,2,2,0,2,0,0
这次,2,2,1,1,0,1
这条,2,1,1,1,1,0
这件事,2,0,2,0,2,0
这一天,2,2,0,2,0,0
还给,2,2,0,2,0,0
还没,2,2,0,2,0,0
迎合,2,2,0,2,0,0
过去,2,1,1,1,1,0
过分,2,1,0,1,0,0
身边,2,2,0,2,0,0
疼,2,2,0,2,0,0
留下,2,2,0,2,0,0
总有,2,2,0,2,0,0
才知道,2,1,0,1,0,0
无比,2,2,0,2,0,0
无,2,2,0,2,0,0
方式,2,2,0,2,0,0
新,2,1,1,1,1,0
敏感,2,2,0,2,0,0
改变,2,2,0,2,0,0
控制不住,2,2,0,2,0,0
控制,2,2,0,2,0,0
换,2,2,1,1,0,1
挣扎,2,1,1,1,1,0
抱抱,2,2,0,2,0,0
投胎,2,1,1,1,1,0
打算,2,2,0,2,0,0
打扰,2,1,1,1,1,0
才是,2,2,0,2,0,0
时间,2,2,0,2,0,0
所有人,2,2,1,1,0,1
成为,2,2,0,2,0,0
懦弱,2,2,0,2,0,0
感到,2,2,0,2,0,0
想过,2,2,0,2,0,0
想象,2,2,0,2,0,0
想说,2,2,0,2,0,0
想法,2,2,0,2,0,0
想来,2,2,1,1,0,1
想开,2,2,0,2,0,0
想吃,2,2,0,2,0,0
想到,2,2,1,1,0,1
您,2,2,0,2,0,0
恨不得,2,2,0,2,0,0
日子,2,2,0,2,0,0
昨天,2,2,1,1,0,1
男,2,2,0,2,0,0
没有人,2,2,0,2,0,0
甘愿,2,2,0,2,0,0
理解,2,2,0,2,0,0
理由,2,2,0,2,0,0
班,2,2,0,2,0,0
玻璃碴子,2,2,0,2,0,0
狗,2,2,0,2,0,0
特么,2,2,0,2,0,0
