Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both
其实,6,5,3,3,1,2
找到,6,3,2,2,1,1
只有,6,5,1,5,1,0
为了,6,4,2,4,2,0
叫,6,3,4,1,2,2
大,6,5,0,5,0,0
共情,6,3,2,3,2,0
换,6,3,3,3,3,0
扔,6,5,0,5,0,0
出,6,1,5,1,5,0
警察,6,2,0,2,0,0
请,6,3,2,1,0,2
那么,6,5,2,4,1,1
逼死,6,4,2,4,2,0
一,6,3,4,0,1,3
一下,6,4,2,3,1,1
还好,6,5,3,3,1,2
过年,6,6,4,2,0,4
突然,6,6,3,3,0,3
看完,6,5,1,5,1,0
不用,6,3,3,2,2,1
一次,6,5,1,5,1,0
解脱,6,4,5,1,2,3
自私,6,4,2,4,2,0
羡慕,6,4,3,3,2,1
真的好,6,5,2,4,1,1
上班,6,5,1,5,1,0
粉丝,6,3,4,1,2,2
那么多,6,2,4,2,4,0
过去,6,4,3,2,1,2
每个人,6,6,1,5,0,1
活下去,6,5,2,4,1,1
/,6,5,1,5,1,0
活,6,4,2,4,2,0
肯定,5,3,2,3,2,0
获得,5,2,3,2,3,0
很多人,5,3,3,1,1,2
马上,5,3,2,3,2,0
今年,5,4,3,2,1,2
总是,5,3,2,3,2,0
恭喜,5,0,5,0,5,0
恶心,5,4,1,4,1,0
您,5,1,1,1,1,0
人家,5,1,0,1,0,0
再来,5,1,4,1,4,0
骂,5,3,2,3,2,0
感同身受,5,5,1,4,0,1
刚,5,5,2,3,0,2
结束,5,1,4,1,4,0
经历,5,4,1,4,1,0
精神支柱,5,2,2,1,1,1
精神,5,4,1,4,1,0
出来,5,2,3,2,3,0
才是,5,5,0,5,0,0
当时,5,5,2,3,0,2
催婚,5,4,1,4,1,0
以前,5,3,2,3,2,0
回家,5,5,1,4,0,1
命,5,4,1,4,1,0
告诉,5,4,3,2,1,2
听,5,3,2,3,2,0
逃离,5,4,2,3,1,1
那里,5,2,3,1,2,1
一个人,5,3,4,1,2,2
好多,5,2,4,1,3,1
还能,5,1,4,1,4,0
关注,5,2,3,2,3,0
姑娘,5,2,2,2,2,0
除了,5,4,1,4,1,0
