Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both
告诉,5,2,3,2,3,0
家里,5,4,2,3,1,1
里面,5,1,4,0,3,1
感觉,5,0,5,0,5,0
今年,5,2,4,1,3,1
这种,5,0,4,0,4,0
好吗,5,0,5,0,5,0
哭,5,1,4,1,4,0
唯一,5,1,4,1,4,0
等,5,0,4,0,4,0
有点,5,3,2,3,2,0
陪,5,0,5,0,5,0
什么,5,2,4,1,3,1
人间,5,2,3,2,3,0
你好,5,1,5,0,4,1
属于,5,2,3,2,3,0
中,5,1,3,0,2,1
见面,5,1,4,1,4,0
只愿,5,2,4,1,3,1
春天,5,4,2,3,1,1
新,5,0,4,0,4,0
只,5,1,4,1,4,0
应该,5,1,5,0,4,1
见到,5,3,4,1,2,2
还在,5,2,4,0,2,2
那个,5,0,4,0,4,0
住,5,2,3,2,3,0
得,5,2,4,1,3,1
活,5,1,4,1,4,0
治愈,5,2,4,1,3,1
一位,5,1,3,1,3,0
男,5,0,4,0,4,0
很多人,5,0,5,0,5,0
心里,5,3,3,2,2,1
东西,5,0,5,0,5,0
海边,5,0,4,0,4,0
压力,5,3,3,2,2,1
@杭州网警,5,0,0,0,0,0
还没有,4,1,1,1,1,0
你自己,4,0,4,0,4,0
只要,4,2,2,2,2,0
关心,4,0,4,0,4,0
可能,4,1,3,1,3,0
发生,4,0,2,0,2,0
刚刚,4,0,2,0,2,0
任何人,4,3,1,3,1,0
千万别,4,0,4,0,4,0
其实,4,3,2,2,1,1
只有,4,2,1,2,1,0
别这样,4,0,4,0,4,0
经历过,4,2,3,1,2,1
从小,4,3,1,3,1,0
十五岁,4,0,4,0,4,0
内心,4,1,3,1,3,0
轨迹,4,0,0,0,0,0
好吃,4,0,4,0,4,0
过敏,4,4,0,4,0,0
发,4,0,1,0,1,0
圈,4,0,1,0,1,0
苦,4,0,4,0,4,0
化成,4,0,4,0,4,0
解脱,4,2,2,2,2,0
过来,4,3,1,3,1,0
作为,4,0,4,0,4,0
任何,4,2,2,2,2,0
所,4,1,4,0,3,1
出生,4,1,3,1,3,0
相似,4,3,1,3,1,0
活下去,4,0,4,0,4,0
恶心,4,4,0,4,0,0
猫,4,2,2,2,2,0
总是,4,1,3,1,3,0
放弃,4,2,3,1,2,1
都会,4,0,4,0,4,0
生命,4,1,2,1,2,0
不用,4,2,4,0,2,2
那边,4,0,3,0,3,0
没人,4,0,4,0,4,0
报警,4,0,1,0,1,0
无论,4,3,2,2,1,1
很棒,4,0,4,0,4,0
电话,4,0,2,0,2,0
很多很多,4,1,3,1,3,0
一天,4,0,4,0,4,0
海水,4,0,4,0,4,0
按,4,0,4,0,4,0
或许,4,2,2,2,2,0
才是,4,1,3,1,3,0
抱歉,4,1,3,1,3,0
一路走好,4,0,4,0,4,0
一边,4,4,4,0,0,4
灵魂,4,1,3,1,3,0
所有,4,0,4,0,4,0
一次,4,4,0,4,0,0
懂,4,1,3,1,3,0
或者,4,1,0,1,0,0
陌生人,4,0,4,0,4,0
一条,4,0,2,0,2,0
附近,4,0,0,0,0,0
我家,4,1,3,1,3,0
热爱,4,2,4,0,2,2
彼此,4,0,4,0,4,0
一点点,4,2,2,2,2,0
学州,4,0,4,0,4,0
这样,4,1,3,1,3,0
麻烦,4,0,3,0,3,0
寻找,4,1,1,1,1,0
森森,4,0,4,0,4,0
612,4,0,4,0,4,0
神话,4,0,4,0,4,0
种,4,0,4,0,4,0
次,4,3,1,3,1,0
穷,4,4,1,3,0,1
#,4,2,0,2,0,0
小朋友,4,0,4,0,4,0
带,4,1,3,1,3,0
看完,4,0,4,0,4,0
出现,4,1,2,1,2,0
帽,4,0,4,0,4,0
死亡,4,3,1,3,1,0
时间,4,1,3,0,2,1
拥有,3,0,3,0,3,0
拜托,3,0,3,0,3,0
刷到,3,1,1,1,1,0
名字,3,0,1,0,1,0
可怜,3,1,2,1,2,0
有才华,3,0,3,0,3,0
分享,3,2,2,1,1,1
有机会,3,0,3,0,3,0
有什么,3,1,2,1,2,0
贵州,3,0,2,0,2,0
杀死,3,1,2,1,2,0
拯救,3,1,2,1,2,0
拍照,3,0,3,0,3,0
吃了,3,2,2,1,1,1
每次,3,1,2,1,2,0
梦想,3,1,2,1,2,0
来了,3,3,1,2,0,1
海,3,0,1,0,1,0
日子,3,1,2,1,2,0
新闻,3,0,3,0,3,0
没事,3,0,3,0,3,0
原来,3,0,1,0,1,0
没办法,3,0,3,0,3,0
明明,3,0,3,0,3,0
教,3,0,3,0,3,0
明白,3,3,0,3,0,0
没有什么,3,1,2,1,2,0
记忆,3,1,2,1,2,0
星球,3,0,3,0,3,0
故事,3,1,2,1,2,0
要开心,3,0,3,0,3,0
西湖,3,0,3,0,3,0
该,3,0,3,0,3,0
变得,3,1,3,0,2,1
没能,3,1,2,1,2,0
及时,3,0,1,0,1,0
挽留,3,0,3,0,3,0
文章,3,0,1,0,1,0
算,3,0,3,0,3,0
渴望,3,2,1,2,1,0
眼泪,3,0,3,0,3,0
相同,3,0,3,0,3,0
天使,3,0,3,0,3,0
相处,3,0,3,0,3,0
帮忙,3,1,1,1,1,0
看着,3,0,3,0,3,0
工作,3,1,2,1,2,0
真,3,0,3,0,3,0
继续,3,1,2,1,2,0
结果,3,1,2,1,2,0
居然,3,1,2,1,2,0
真的好,3,0,3,0,3,0
太苦,3,0,2,0,2,0
就好,3,1,2,1,2,0
告别,3,1,2,1,2,0
女,3,1,3,0,2,1
眼睛,3,1,2,1,2,0
少年,3,1,2,1,2,0
好不好,3,0,3,0,3,0
